Year,Month,Day,Hour,Minute,Second,sky_type
2007,1,13,4,0,30,5
2007,1,13,4,1,30,5
2007,1,13,4,2,30,5
2007,1,13,4,3,30,5
2007,1,13,4,4,30,5
2007,1,13,4,5,30,5
2007,1,13,4,6,30,5
2007,1,13,4,7,30,5
2007,1,13,4,8,30,5
2007,1,13,4,9,30,5
2007,1,13,4,10,30,5
2007,1,13,4,11,30,5
2007,1,13,4,12,30,5
2007,1,13,4,48,30,5
2007,1,13,4,49,30,5
2007,1,13,4,50,30,5
2007,1,13,4,51,30,5
2007,1,13,4,52,30,5
2007,1,13,4,53,30,5
2007,1,13,4,54,30,5
2007,1,13,4,55,30,5
2007,1,13,4,56,30,5
2007,1,13,4,57,30,5
2007,1,13,5,1,30,5
2007,1,13,5,2,30,5
2007,1,13,5,3,30,6
2007,1,13,5,4,30,6
2007,1,13,5,5,30,6
2007,1,13,5,6,30,6
2007,1,13,5,7,30,6
2007,1,13,5,8,30,6
2007,1,13,5,9,30,6
2007,1,13,5,10,30,6
2007,1,13,5,12,30,6
2007,1,13,5,13,30,6
2007,1,13,5,14,30,6
2007,1,13,5,15,30,6
2007,1,13,5,16,30,6
2007,1,13,5,17,30,6
2007,1,13,5,18,30,6
2007,1,13,5,19,30,6
2007,1,13,5,20,30,6
2007,1,13,5,21,30,6
2007,1,13,5,22,30,6
2007,1,13,5,23,30,6
2007,1,13,5,24,30,6
2007,1,13,5,25,30,6
2007,1,13,5,26,30,6
2007,1,13,5,27,30,6
2007,1,13,5,28,30,6
2007,1,13,5,29,30,6
2007,1,13,5,30,30,6
2007,1,13,5,31,30,6
2007,1,13,5,32,30,6
2007,1,13,5,33,30,6
2007,1,13,5,34,30,6
2007,1,13,5,35,30,6
2007,1,13,5,36,30,6
2007,1,13,5,37,30,6
2007,1,13,5,38,30,6
2007,1,13,5,39,30,6
2007,1,13,5,40,30,6
2007,1,13,5,41,30,6
2007,1,13,5,42,30,6
2007,1,13,5,43,30,6
2007,1,13,5,44,30,6
2007,1,13,5,45,30,6
2007,1,13,5,46,30,6
2007,1,13,5,47,30,6
2007,1,13,5,48,30,6
2007,1,13,5,49,30,6
2007,1,13,5,50,30,6
2007,1,13,5,51,30,6
2007,1,13,5,52,30,6
2007,1,13,5,53,30,4
2007,1,13,5,54,30,4
2007,1,13,5,55,30,4
2007,1,13,5,56,30,4
2007,1,13,5,57,30,4
2007,1,13,5,58,30,4
2007,1,13,5,59,30,4
2007,1,13,6,0,30,4
2007,1,13,6,1,30,4
2007,1,13,6,2,30,4
2007,1,13,6,3,30,4
2007,1,13,6,4,30,4
2007,1,13,6,5,30,4
2007,1,13,6,6,30,4
2007,1,13,6,7,30,4
2007,1,13,6,8,30,4
2007,1,13,6,9,30,4
2007,1,13,6,10,30,4
2007,1,13,6,11,30,4
2007,1,13,6,12,30,4
2007,1,13,6,13,30,4
2007,1,13,6,14,30,4
2007,1,13,6,15,30,4
2007,1,13,6,16,30,4
2007,1,13,6,17,30,4
2007,1,13,6,18,30,4
2007,1,13,6,19,30,4
2007,1,13,6,20,30,4
2007,1,13,6,21,30,4
2007,1,13,6,22,30,4
2007,1,13,6,23,30,4
2007,1,13,6,24,30,4
2007,1,13,6,25,30,4
2007,1,13,6,26,30,4
2007,1,13,6,27,30,4
2007,2,11,20,18,30,6
2007,2,11,20,19,30,5
2007,2,11,20,20,30,5
2007,2,11,20,21,30,5
2007,2,11,20,22,30,5
2007,2,11,20,23,30,5
2007,2,11,20,24,30,5
2007,2,11,20,25,30,5
2007,2,11,20,26,30,5
2007,2,11,20,27,30,5
2007,2,11,20,28,30,5
2007,2,11,20,29,30,5
2007,2,11,20,30,30,5
2007,2,11,20,31,30,5
2007,2,11,20,32,30,5
2007,2,11,20,33,30,5
2007,2,11,20,34,30,5
2007,2,11,20,35,30,5
2007,2,11,20,36,30,5
2007,2,11,20,37,30,5
2007,2,11,20,38,30,5
2007,2,11,20,39,30,5
2007,2,11,20,40,30,5
2007,2,11,20,41,30,5
2007,2,11,20,42,30,5
2007,2,11,20,43,30,5
2007,2,11,20,44,30,5
2007,2,11,20,45,30,5
2007,2,11,20,46,30,5
2007,2,11,20,47,30,5
2007,2,11,20,48,30,5
2007,2,11,20,49,30,5
2007,2,11,20,50,30,5
2007,2,11,20,51,30,5
2007,2,11,20,52,30,5
2007,2,11,20,53,30,5
2007,2,11,21,32,30,6
2007,2,11,21,33,30,6
2007,2,12,0,3,30,4
2007,2,12,0,4,30,4
2007,2,12,0,5,30,7
2007,2,12,0,6,30,7
2007,2,12,0,7,30,7
2007,2,12,0,8,30,7
2007,2,12,0,9,30,7
2007,2,12,0,10,30,4
2007,2,12,0,11,30,7
2007,2,12,0,12,30,4
2007,2,12,0,18,30,4
2007,2,12,0,19,30,4
2007,2,12,0,20,30,4
2007,2,12,0,21,30,7
2007,2,12,0,22,30,7
2007,2,12,0,23,30,4
2007,2,12,0,24,30,4
2007,2,12,0,25,30,4
2007,2,12,0,26,30,4
2007,2,12,0,27,30,4
2007,2,12,0,33,30,7
2007,2,17,22,3,30,4
2007,2,17,22,4,30,4
2007,2,17,22,5,30,4
2007,2,17,22,6,30,4
2007,2,17,22,7,30,4
2007,2,17,22,8,30,4
2007,2,17,22,9,30,4
